invoice_id,provider_id,country,invoice_date,payment_terms,subtotal,tax,total,is_fraud,fraud_type
INV_000027,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-08-29,NET30,10510.79,1576.62,12087.41,0,NONE
INV_000028,bbcdc83a-fb69-4c20-a838-17516700b971,BT,2025-08-05,NET60,2637.56,395.63,3033.19,0,NONE
INV_000029,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-02-01,NET60,8904.44,1335.67,10240.11,0,NONE
INV_000030,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-02-15,NET30,9788.91,1468.34,11257.25,0,NONE
INV_000031,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-01-28,NET60,10037.56,1505.63,11543.19,0,NONE
INV_000032,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-11-21,NET60,9127.47,1369.12,10496.59,0,NONE
INV_000033,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-09-29,NET30,8859.9,1328.98,10188.88,0,NONE
INV_000034,6d27dc16-7299-4cdf-9901-d9925578473c,GR,2025-11-12,NET30,5108.07,766.21,5874.28,0,NONE
INV_000035,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-10-19,NET30,3086.94,463.04,3549.98,1,DUPLICATE
INV_000036,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-09-06,NET30,13665.08,2049.76,15714.84,0,NONE
INV_000037,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-11-08,NET60,12373.75,1856.06,14229.81,0,NONE
INV_000038,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-05-24,NET90,6865.57,1029.84,7895.41,0,NONE
INV_000039,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-01-25,NET30,17443.56,2616.53,20060.09,0,NONE
INV_000040,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-12-16,NET30,6975.06,1046.26,8021.32,0,NONE
INV_000041,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-06-23,NET60,16125.53,2418.83,18544.36,0,NONE
INV_000042,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-12-16,NET30,16207.29,2431.09,18638.38,0,NONE
INV_000043,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-12-21,NET90,12459.8,1868.97,14328.77,0,NONE
INV_000044,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-07-10,NET30,6596.73,989.51,7586.24,0,NONE
INV_000045,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-06-06,NET30,1624.78,243.72,1868.5,0,NONE
INV_000046,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-07-28,NET30,7405.62,1110.84,8516.46,0,NONE
INV_000047,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-02-26,NET90,3111.33,466.7,3578.03,0,NONE
INV_000048,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-05-20,NET30,11450.88,1717.63,13168.51,0,NONE
INV_000049,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-11-26,NET30,6856.53,1028.48,7885.01,0,NONE
INV_000050,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-12-10,NET30,21403.5,3210.52,24614.02,1,QUANTITY
INV_000051,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-11-03,NET60,10031.19,1504.68,11535.87,0,NONE
INV_000052,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-05-21,NET30,4049.01,607.35,4656.36,0,NONE
INV_000053,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-04-20,NET30,9956.3,1493.44,11449.74,0,NONE
INV_000054,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-08-02,NET30,11138.92,1670.84,12809.76,1,DUPLICATE
INV_000055,6d27dc16-7299-4cdf-9901-d9925578473c,GR,2025-11-22,NET60,3260.25,489.04,3749.29,0,NONE
INV_000056,6d27dc16-7299-4cdf-9901-d9925578473c,GR,2025-09-21,NET90,3575.64,536.35,4111.99,0,NONE
INV_000057,bbcdc83a-fb69-4c20-a838-17516700b971,BT,2025-10-10,NET30,7581.84,1137.28,8719.12,0,NONE
INV_000058,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-01-15,NET60,8534.29,1280.14,9814.43,0,NONE
INV_000059,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-04-15,NET30,6440.03,966.0,7406.03,0,NONE
INV_000060,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-05-16,NET30,2612.88,391.93,3004.81,1,DUPLICATE
INV_000061,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-04-20,NET30,7643.16,1146.47,8789.63,0,NONE
INV_000062,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-03-15,NET90,6210.59,931.59,7142.18,0,NONE
INV_000063,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-12-25,NET30,6492.0,973.8,7465.8,0,NONE
INV_000064,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-05-27,NET60,5388.35,808.25,6196.6,0,NONE
INV_000065,6d27dc16-7299-4cdf-9901-d9925578473c,GR,2025-02-05,NET30,3169.33,475.4,3644.73,0,NONE
INV_000066,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-10-09,NET30,10197.61,1529.64,11727.25,0,NONE
INV_000067,bbcdc83a-fb69-4c20-a838-17516700b971,BT,2025-06-13,NET60,4003.91,600.59,4604.5,0,NONE
INV_000068,c51ec10d-a13b-422b-976c-efcf5dd25eaf,IS,2025-10-23,NET30,4684.35,702.65,5387.0,0,NONE
INV_000069,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-08-03,NET30,11545.49,1731.82,13277.31,0,NONE
INV_000070,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-10-16,NET30,7780.44,1167.07,8947.51,0,NONE
INV_000071,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-07-22,NET60,19351.56,2902.73,22254.29,0,NONE
INV_000072,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-01-13,NET30,11541.66,1731.25,13272.91,0,NONE
INV_000073,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-08-06,NET30,7104.76,1065.71,8170.47,0,NONE
INV_000074,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-09-23,NET30,15404.6,2310.69,17715.29,0,NONE
INV_000075,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-09-14,NET30,21540.99,3231.15,24772.14,0,NONE
INV_000076,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-01-22,NET30,5346.39,801.96,6148.35,0,NONE
INV_000077,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-07-08,NET60,14823.93,2223.59,17047.52,0,NONE
INV_000078,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-01-29,NET60,974.89,146.23,1121.12,0,NONE
INV_000079,bbcdc83a-fb69-4c20-a838-17516700b971,BT,2025-11-15,NET60,3255.35,488.3,3743.65,0,NONE
INV_000080,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-08-03,NET30,5791.24,868.69,6659.93,0,NONE
INV_000081,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-11-14,NET60,13813.88,2072.08,15885.96,0,NONE
INV_000082,c51ec10d-a13b-422b-976c-efcf5dd25eaf,IS,2025-09-11,NET60,15626.08,2343.91,17969.99,1,INFLATED
INV_000083,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-03-25,NET30,6636.98,995.55,7632.53,0,NONE
INV_000084,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-12-23,NET30,5433.17,814.98,6248.15,0,NONE
INV_000085,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-08-23,NET30,23912.39,3586.86,27499.25,0,NONE
INV_000086,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-11-03,NET30,19650.7,2947.6,22598.3,1,INFLATED
INV_000087,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-10-16,NET30,21542.87,3231.43,24774.3,0,NONE
INV_000088,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-03-13,NET60,1515.06,227.26,1742.32,0,NONE
INV_000089,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-01-29,NET30,4999.2,749.88,5749.08,0,NONE
INV_000090,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-07-25,NET30,10411.5,1561.72,11973.22,0,NONE
INV_000091,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-11-06,NET30,12121.09,1818.16,13939.25,0,NONE
INV_000092,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-07-18,NET30,19312.28,2896.84,22209.12,1,QUANTITY
INV_000093,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-10-09,NET60,6497.41,974.61,7472.02,0,NONE
INV_000094,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-03-06,NET60,8666.86,1300.03,9966.89,0,NONE
INV_000095,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-01-03,NET30,22060.45,3309.07,25369.52,0,NONE
INV_000096,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-06-15,NET60,8351.07,1252.66,9603.73,1,DUPLICATE
INV_000097,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-08-13,NET30,17353.99,2603.1,19957.09,0,NONE
INV_000098,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-04-12,NET30,10273.55,1541.03,11814.58,0,NONE
INV_000099,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-02-12,NET60,12885.21,1932.78,14817.99,0,NONE
INV_000100,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-07-24,NET30,12291.37,1843.71,14135.08,0,NONE
INV_000101,780662b5-e665-4015-9d4b-edce767d9486,AT,2025-06-26,NET30,8514.79,1277.22,9792.01,0,NONE
INV_000102,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-03-07,NET30,4834.56,725.18,5559.74,0,NONE
INV_000103,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-02-05,NET60,1192.32,178.85,1371.17,0,NONE
INV_000104,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-08-28,NET60,15678.19,2351.73,18029.92,0,NONE
INV_000105,c51ec10d-a13b-422b-976c-efcf5dd25eaf,IS,2025-07-30,NET30,2604.41,390.66,2995.07,0,NONE
INV_000106,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-09-11,NET30,3453.41,518.01,3971.42,0,NONE
INV_000107,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-03-23,NET30,2685.34,402.8,3088.14,0,NONE
INV_000108,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-12-12,NET30,12629.28,1894.39,14523.67,0,NONE
INV_000109,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-10-30,NET60,17239.81,2585.97,19825.78,0,NONE
INV_000110,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-06-13,NET60,13978.86,2096.83,16075.69,0,NONE
INV_000111,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-06-12,NET90,16142.0,2421.3,18563.3,0,NONE
INV_000112,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-04-20,NET30,17833.64,2675.05,20508.69,0,NONE
INV_000113,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-06-01,NET60,4996.5,749.48,5745.98,0,NONE
INV_000114,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-11-10,NET30,9868.26,1480.24,11348.5,0,NONE
INV_000115,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-09-17,NET90,12560.42,1884.06,14444.48,0,NONE
INV_000116,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-06-15,NET30,5775.0,866.25,6641.25,0,NONE
INV_000117,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-07-20,NET30,5757.32,863.6,6620.92,0,NONE
INV_000118,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-11-09,NET30,4795.25,719.29,5514.54,0,NONE
INV_000119,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-02-15,NET30,8339.27,1250.89,9590.16,0,NONE
INV_000120,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-09-20,NET30,9629.25,1444.39,11073.64,1,DUPLICATE
INV_000121,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-07-11,NET60,24354.05,3653.11,28007.16,0,NONE
INV_000122,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-05-24,NET90,2069.46,310.42,2379.88,0,NONE
INV_000123,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-09-16,NET30,6110.93,916.64,7027.57,1,INFLATED
INV_000124,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-07-30,NET60,12963.92,1944.59,14908.51,0,NONE
INV_000125,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-09-07,NET60,1399.6,209.94,1609.54,0,NONE
INV_000126,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-08-16,NET60,15621.52,2343.23,17964.75,0,NONE
INV_000127,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-07-22,NET30,14844.84,2226.73,17071.57,0,NONE
INV_000128,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-02-04,NET60,6521.82,978.27,7500.09,0,NONE
INV_000129,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-06-14,NET60,13808.05,2071.21,15879.26,0,NONE
INV_000130,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-04-26,NET60,6165.42,924.81,7090.23,0,NONE
INV_000131,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-04-30,NET30,21414.32,3212.15,24626.47,0,NONE
INV_000132,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-09-10,NET30,6018.47,902.77,6921.24,0,NONE
INV_000133,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-04-29,NET30,11565.44,1734.82,13300.26,0,NONE
INV_000134,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-12-13,NET60,9694.11,1454.12,11148.23,0,NONE
INV_000135,bbcdc83a-fb69-4c20-a838-17516700b971,BT,2025-02-21,NET30,4776.77,716.52,5493.29,1,DUPLICATE
INV_000136,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-11-09,NET30,5604.19,840.63,6444.82,0,NONE
INV_000137,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-03-09,NET90,9569.31,1435.4,11004.71,0,NONE
INV_000138,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-03-24,NET30,9311.43,1396.71,10708.14,0,NONE
INV_000139,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-08-20,NET60,5345.8,801.87,6147.67,0,NONE
INV_000140,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-06-20,NET90,14584.45,2187.67,16772.12,0,NONE
INV_000141,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-10-07,NET30,6412.62,961.89,7374.51,1,QUANTITY
INV_000142,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-05-01,NET30,3110.87,466.63,3577.5,0,NONE
INV_000143,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-08-18,NET30,3691.54,553.73,4245.27,0,NONE
INV_000144,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-02-22,NET60,2133.99,320.1,2454.09,0,NONE
INV_000145,c51ec10d-a13b-422b-976c-efcf5dd25eaf,IS,2025-06-17,NET30,19332.11,2899.82,22231.93,1,QUANTITY
INV_000146,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-12-13,NET30,14170.98,2125.65,16296.63,0,NONE
INV_000147,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-03-13,NET60,15380.26,2307.04,17687.3,0,NONE
INV_000148,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-08-17,NET30,7363.33,1104.5,8467.83,0,NONE
INV_000149,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-02-10,NET30,41206.62,6180.99,47387.61,1,QUANTITY
INV_000150,bbcdc83a-fb69-4c20-a838-17516700b971,BT,2025-10-03,NET30,4166.63,624.99,4791.62,1,DUPLICATE
INV_000151,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-10-26,NET30,14400.09,2160.01,16560.1,1,INFLATED
INV_000152,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-12-19,NET60,17288.93,2593.34,19882.27,0,NONE
INV_000153,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-11-04,NET30,8544.52,1281.68,9826.2,0,NONE
INV_000154,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-05-08,NET60,19721.64,2958.25,22679.89,0,NONE
INV_000155,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-05-31,NET90,5828.99,874.35,6703.34,0,NONE
INV_000156,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-12-29,NET30,27294.26,4094.14,31388.4,1,QUANTITY
INV_000157,eb41e38f-e554-41c1-a0e3-ca890350e9ec,AU,2025-10-05,NET30,12769.0,1915.35,14684.35,0,NONE
INV_000158,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-05-18,NET30,4727.52,709.13,5436.65,0,NONE
INV_000159,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-09-25,NET30,4333.97,650.1,4984.07,0,NONE
INV_000160,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-11-05,NET30,8345.9,1251.88,9597.78,0,NONE
INV_000161,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-11-10,NET60,11980.57,1797.09,13777.66,0,NONE
INV_000162,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-01-25,NET90,7613.61,1142.04,8755.65,0,NONE
INV_000163,1afdcffd-f8f3-4bc3-a53f-3c1b6997e688,LK,2025-03-09,NET30,7021.17,1053.18,8074.35,0,NONE
INV_000164,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-10-27,NET60,14700.64,2205.1,16905.74,0,NONE
INV_000165,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-07-28,NET90,9632.88,1444.93,11077.81,0,NONE
INV_000166,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-01-22,NET30,11460.2,1719.03,13179.23,0,NONE
INV_000167,bbcdc83a-fb69-4c20-a838-17516700b971,BT,2025-09-21,NET90,9195.15,1379.27,10574.42,0,NONE
INV_000168,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-10-16,NET60,2412.62,361.89,2774.51,0,NONE
INV_000169,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-04-04,NET60,3011.46,451.72,3463.18,0,NONE
INV_000170,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-03-20,NET30,17814.16,2672.12,20486.28,0,NONE
INV_000171,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-06-19,NET60,3987.88,598.18,4586.06,0,NONE
INV_000172,cabb6aa6-d146-4725-9f26-5e8328168584,DZ,2025-08-16,NET30,5014.72,752.21,5766.93,0,NONE
INV_000173,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-08-30,NET60,11325.61,1698.84,13024.45,0,NONE
INV_000174,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-11-09,NET30,12476.7,1871.5,14348.2,0,NONE
INV_000175,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-11-20,NET30,5556.46,833.47,6389.93,0,NONE
INV_000176,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-12-12,NET30,16012.15,2401.82,18413.97,0,NONE
INV_000177,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-09-08,NET30,5322.88,798.43,6121.31,0,NONE
INV_000178,16ccf49a-1d1d-47ee-90b0-f7d306a2bbab,BW,2025-02-14,NET90,9496.63,1424.49,10921.12,0,NONE
INV_000179,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-03-12,NET30,4302.13,645.32,4947.45,0,NONE
INV_000180,b51d5ff4-3a1d-4ae8-8bd1-fe9215cc2390,AR,2025-03-25,NET30,7026.47,1053.97,8080.44,0,NONE
INV_000181,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-12-18,NET30,8362.5,1254.38,9616.88,0,NONE
INV_000182,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-08-06,NET30,6886.25,1032.94,7919.19,0,NONE
INV_000183,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-03-23,NET30,12126.51,1818.98,13945.49,0,NONE
INV_000184,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-12-04,NET60,16149.47,2422.42,18571.89,0,NONE
INV_000185,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-06-05,NET30,8928.28,1339.24,10267.52,0,NONE
INV_000186,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-11-17,NET60,8330.04,1249.51,9579.55,0,NONE
INV_000187,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-01-14,NET60,5835.22,875.28,6710.5,0,NONE
INV_000188,f6d81f5e-1308-4745-9a02-5771140cdf8b,SZ,2025-08-23,NET30,19148.12,2872.22,22020.34,0,NONE
INV_000189,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-03-30,NET60,9937.72,1490.66,11428.38,0,NONE
INV_000190,2cb41fac-7ecb-4a6d-8714-62647a8b1673,CG,2025-05-12,NET30,9870.83,1480.62,11351.45,0,NONE
INV_000191,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-12-11,NET30,11132.72,1669.91,12802.63,0,NONE
INV_000192,c0b28020-1534-4406-a7cc-cfa62176fcba,CU,2025-04-11,NET30,14252.25,2137.84,16390.09,0,NONE
INV_000193,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-09-11,NET30,3737.25,560.59,4297.84,0,NONE
INV_000194,3281d036-9d6b-456f-9630-4ee5761d7e8a,GD,2025-08-09,NET30,35144.24,5271.64,40415.88,1,QUANTITY
INV_000195,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-07-11,NET60,9110.72,1366.61,10477.33,0,NONE
INV_000196,12135baa-d2fb-4d7a-89c7-f589d65517ed,NO,2025-08-28,NET30,6380.28,957.04,7337.32,0,NONE
INV_000197,68507650-a511-4089-9dd5-f90b188624c9,SZ,2025-05-22,NET30,5395.61,809.34,6204.95,0,NONE
INV_000198,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-08-07,NET30,10250.88,1537.63,11788.51,0,NONE
INV_000199,a9a3dcab-8105-4463-844d-cd8a9bb1a830,CA,2025-05-06,NET30,18045.41,2706.81,20752.22,0,NONE
INV_000200,9f04ba79-c37b-440d-8db5-8728e8eb49d0,ST,2025-03-21,NET60,16422.78,2463.42,18886.2,0,NONE
INV_000201,356f2c48-dc1d-4641-a395-e90f4daceb49,HN,2025-12-20,NET60,8209.69,1231.45,9441.14,0,NONE
INV_000202,ae976ea4-baf5-4235-91a7-efee61466624,UA,2025-05-27,NET30,4646.51,696.98,5343.49,0,NONE
INV_000203,5b9afaad-272e-4cba-bfbc-9a4f4e0434c1,GM,2025-03-03,NET30,3390.56,508.58,3899.14,0,NONE
